title,authors,Last Date Read,My Rating,genre,series_type,my_tags,goodreads_shelves
I Have No Mouth and I Must Scream,Harlan Ellison,2023/10/31,3.75,Fantasy,Standalone,"Urban Fantasy, Humor, Western, Short Stories, *completed","Classics, Dystopian, Fantasy, Fiction, Horror, Short Stories"
The Sunlit Man,Brandon Sanderson,2023/10/27,4.25,Fantasy,Standalone,"Epic Fantasy, *completed","Adventure, Epic, Epic Fantasy, Fiction, High Fantasy, Science Fiction"
Dune Messiah,Frank Herbert,2023/10/14,3.75,Fantasy,Short Series,"Dystopian, *completed, Space Opera, Classics, Epic Fantasy","Adventure, Classics, Dystopian, Epic, Fantasy, Fiction, Philosophy, Politics, Religion, Science, Space Opera"
This Is How You Lose the Time War,Amal El-Mohtar & Max Gladstone,2023/10/07,4.0,Science Fiction,Standalone,"Romance, Dystopian, *completed, Time Travel","Science Fiction, Romance, Fiction, Fantasy, LGBTQ, Time Travel, Speculative Fiction, Dystopian, Epistolary, Literary, Military & War, Contemporary"
Lord of Chaos,Robert Jordan,2023/09/13,5.0,Fantasy,Long Series,"Epic Fantasy, *completed","Adventure, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Military & War"
Yumi and the Nightmare Painter,Brandon Sanderson,2023/08/27,4.5,Fantasy,Short Series,"Nautical, Romance, Cozy, Dragons, *completed, Epic Fantasy","Adventure, Cozy, Dragons, Epic, Fantasy, Fiction, High Fantasy, Humor, Nautical, Romance, Romantasy, Young Adult"
Station Eleven,Emily St. John Mandel,2023/07/28,5.0,Fantasy,Standalone,"Survival, Post-Apocalyptic, *completed","Adventure, Contemporary, Dystopian, Fantasy, Fiction, Literary, Post-Apocalyptic, Survival"
The Fires of Heaven,Robert Jordan,2023/07/22,4.0,Fantasy,Long Series,"Epic Fantasy, *completed","Adventure, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Military & War"
Stories of Your Life and Others,Ted Chiang,2023/07/22,4.75,Fantasy,Standalone,"*completed, Short Stories","Aliens, Contemporary, Fantasy, Fiction, Philosophy, Religion, Science, Short Stories"
The Frugal Wizard's Handbook for Surviving Medieval England,Brandon Sanderson,2023/07/06,3.75,Fantasy,Standalone,"Time Travel, *completed, Historical Fiction","Adventure, Alternate History, Fantasy, Fiction, High Fantasy, Historical Fiction, Humor, Medieval, Mystery, Time Travel, Young Adult"
Ender's Shadow,Orson Scott Card,2023/06/18,4.25,Fantasy,Short Series,"*completed, Space Opera","Adventure, Aliens, Dystopian, Fantasy, Fiction, Military & War, Science, Space Opera, Young Adult"
Exhalation,Ted Chiang,2023/06/14,4.25,Fantasy,Standalone,"Time Travel, *completed, Short Stories","Contemporary, Dystopian, Fantasy, Fiction, Philosophy, Science, Short Stories, Time Travel"
Reaper Man,Terry Pratchett,2023/06/12,4.25,Fantasy,Short Series,"*completed, Humor","Adventure, Fantasy, Fiction, High Fantasy, Humor, Science, Young Adult"
The Sword of Kaigen,M. L. Wang,2023/05/30,4.75,Fantasy,Standalone,"Indie, Epic Fantasy, *completed","Epic, Fantasy, Fiction, High Fantasy, Indie, Military & War, Science Fiction, Speculative Fiction, Thriller"
The Shadow Rising,Robert Jordan,2023/04/26,5.0,Fantasy,Long Series,"Epic Fantasy, *completed","Adventure, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Military & War"
Speaker for the Dead,Orson Scott Card,2023/03/24,4.75,Fantasy,Short Series,"*completed, Space Opera","Adventure, Aliens, Dystopian, Fantasy, Fiction, Military & War, Philosophy, Science, Space Opera, Young Adult"
Mort,Terry Pratchett,2023/03/18,4.5,Fantasy,Short Series,"*completed, Humor","Adventure, Fantasy, Fiction, High Fantasy, Humor, Science, Young Adult"
Ender's Game,Orson Scott Card,2023/02/22,5.0,Fantasy,Short Series,"Classics, *completed, Space Opera","Adventure, Aliens, Coming of Age, Dystopian, Fantasy, Fiction, Military & War, Science, Space Opera, Young Adult"
The Dragon Reborn,Robert Jordan,2023/02/09,4.75,Fantasy,Long Series,"Epic Fantasy, *completed","Adventure, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Military & War"
Tress of the Emerald Sea,Brandon Sanderson,2023/01/18,4.25,Fantasy,Short Series,"Nautical, Romance, Cozy, Dragons, *completed, Epic Fantasy","Adventure, Cozy, Dragons, Epic, Fantasy, Fiction, High Fantasy, Humor, Nautical, Pirates, Romance, Romantasy, Young Adult"
The Great Hunt,Robert Jordan,2022/12/31,4.75,Fantasy,Long Series,"Epic Fantasy, *completed","Adventure, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Military & War"
The Fifth Season,N. K. Jemisin,2022/12/31,2.0,Fantasy,Short Series,"Dystopian, *completed, Epic Fantasy, Post-Apocalyptic","Adventure, Dystopian, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, LGBTQ, Post-Apocalyptic"
The Lost Metal,Brandon Sanderson,2022/12/09,4.25,Fantasy,Long Series,"Western, Epic Fantasy, *completed","Adventure, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Mystery, Steampunk, Urban Fantasy, Western, Young Adult"
The Eye of the World,Robert Jordan,2022/11/21,4.0,Fantasy,Long Series,"Epic Fantasy, *completed","Adventure, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Military & War"
A Night in the Lonesome October,Roger Zelazny,2022/11/13,3.5,Fantasy,Standalone,"Urban Fantasy, Humor, Cosmic Horror, *completed, Historical Fiction, Classics, Supernatural Horror","Adventure, Cosmic Horror, Fantasy, Fiction, Gothic, Grimdark, Historical Fiction, Horror, Humor, Mystery, Supernatural, Supernatural Horror, Urban Fantasy, Vampires"
Maskerade,Terry Pratchett,2022/10/23,4.5,Fantasy,Short Series,"*completed, Humor","Adventure, Fantasy, Fiction, High Fantasy, Humor, Music, Mystery, Science, Vampires, Young Adult"
Rhythm of War,Brandon Sanderson,2022/10/23,4.0,Fantasy,Long Series,"Epic Fantasy, *completed","Adventure, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Military & War"
The Torch That Ignites the Stars,Andrew Rowe,2022/10/11,3.0,Fantasy,Long Series,"*completed, Space Opera, Indie, Epic Fantasy","Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Indie, Science, Space Opera, Thriller, Urban Fantasy, Young Adult"
Six Sacred Swords,Andrew Rowe,2022/09/02,3.5,Fantasy,Short Series,"Dragons, *completed, Indie, Progression Fantasy, Epic Fantasy","Adventure, Dragons, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Humor, Indie, LitRPG, Progression Fantasy"
Dawnshard,Brandon Sanderson,2022/08/19,4.5,Fantasy,Long Series,"Epic Fantasy, *completed, Short Stories","Adventure, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Military & War, Short Stories"
Lords and Ladies,Terry Pratchett,2022/08/18,4.0,Fantasy,Short Series,"*completed, Humor","Adventure, Fantasy, Fiction, High Fantasy, Humor, Mystery, Science, Vampires, Young Adult"
Oathbringer,Brandon Sanderson,2022/07/21,5.0,Fantasy,Long Series,"Epic Fantasy, *completed","Adventure, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Military & War, Speculative Fiction"
Forging Divinity,Andrew Rowe,2022/07/15,3.75,Fantasy,Short Series,"*completed, Indie, Progression Fantasy, Epic Fantasy","Adventure, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Indie, LitRPG, Progression Fantasy"
Witches Abroad,Terry Pratchett,2022/07/05,4.5,Fantasy,Short Series,"*completed, Humor","Adventure, Fairy Tales, Fantasy, Fiction, High Fantasy, Humor, Mystery, Science, Supernatural, Vampires, Young Adult"
Wyrd Sisters,Terry Pratchett,2022/06/15,5.0,Fantasy,Short Series,"*completed, Humor","Adventure, Fantasy, Fiction, High Fantasy, Humor, Mystery, Science, Vampires, Young Adult"
Equal Rites,Terry Pratchett,2022/06/01,3.75,Fantasy,Short Series,"*completed, Humor","Adventure, Fantasy, Feminism, Fiction, High Fantasy, Humor, Mystery, Science, Social Issues, Vampires, Young Adult"
Born a Crime,Trevor Noah,2022/05/23,5.0,Nonfiction,Standalone,"Humor, History, *completed, Biography, Nonfiction","Africa, Social Issues, History, Politics, Coming of Age, Contemporary, Humor, Comedy, Biography, Nonfiction, Entertainment"
On the Shoulders of Titans,Andrew Rowe,2022/05/16,,Fantasy,Long Series,"*completed, Space Opera, Indie, Progression Fantasy, Epic Fantasy","Adventure, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Indie, LGBTQ, LitRPG, Magic School, Progression Fantasy, Science, Space Opera, Urban Fantasy, Young Adult"
Guards! Guards!,Terry Pratchett,2022/05/04,5.0,Fantasy,Short Series,"Humor, Dragons, *completed, Epic Fantasy","Adventure, Crime, Dragons, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Humor, Military & War, Mystery, Science, Urban Fantasy, Young Adult"
Sufficiently Advanced Magic,Andrew Rowe,2022/04/22,2.75,Fantasy,Long Series,"*completed, Space Opera, Indie, Progression Fantasy, Epic Fantasy","Adventure, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Indie, LGBTQ, LitRPG, Magic School, Progression Fantasy, Science, Space Opera, Speculative Fiction, Urban Fantasy, Young Adult"
Words of Radiance,Brandon Sanderson,2022/04/12,5.0,Fantasy,Long Series,"Epic Fantasy, *completed","Adventure, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Military & War"
Rogue Protocol,Martha Wells,2022/04/08,4.75,Science Fiction,Short Series,"Humor, *completed, Short Stories, Space Opera, Cyberpunk","Adventure, Cyberpunk, Dystopian, Fantasy, Fiction, Humor, LGBTQ, Mystery, Robots, Science Fiction, Short Stories, Space Opera, Thriller"
Artificial Condition,Martha Wells,2022/03/31,4.5,Science Fiction,Short Series,"Humor, *completed, Short Stories, Space Opera, Cyberpunk","Adventure, Cyberpunk, Dystopian, Fantasy, Fiction, Humor, LGBTQ, Mystery, Robots, Science Fiction, Short Stories, Space Opera, Thriller"
All Systems Red,Martha Wells,2022/03/25,4.0,Science Fiction,Short Series,"Humor, *completed, Short Stories, Space Opera, Cyberpunk","Adventure, Cyberpunk, Dystopian, Fantasy, Fiction, Humor, LGBTQ, Mystery, Robots, Science Fiction, Short Stories, Space Opera, Thriller"
Battle Ground,Jim Butcher,2022/03/14,4.5,Fantasy,Long Series,"Urban Fantasy, Humor, Monster Hunting, *completed, Detective, Epic Fantasy, Dragons, Supernatural Horror","Adventure, Christianity, Contemporary, Detective, Dragons, Epic, Fae, Fantasy, Fiction, Horror, Humor, Military & War, Monster Hunting, Mystery, Mythology, Supernatural, Supernatural Horror, Thriller, Urban Fantasy, Vampires"
The Way of Kings,Brandon Sanderson,2022/02/25,5.0,Fantasy,Long Series,"Epic Fantasy, *completed","Adventure, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Military & War"
Peace Talks,Jim Butcher,2022/02/22,4.25,Fantasy,Long Series,"Urban Fantasy, Romance, Humor, Monster Hunting, *completed, Detective, Epic Fantasy, Dragons, Supernatural Horror","Adventure, Contemporary, Crime, Detective, Dragons, Epic, Fae, Fantasy, Fiction, Horror, Humor, Military & War, Monster Hunting, Mystery, Mythology, Supernatural, Supernatural Horror, Thriller, Urban Fantasy, Vampires"
Brief Cases,Jim Butcher,2022/02/17,4.0,Fantasy,Long Series,"Urban Fantasy, Humor, *completed, Short Stories, Detective","Fantasy, Urban Fantasy, Short Stories, Fiction, Mystery, Supernatural, Vampires, Speculative Fiction, Detective, Horror, Humor, Crime, Adventure, Science Fiction, Fae, Thriller, Contemporary, Zombies, Magical Realism"
The Dark Tower,Stephen King,2022/02/11,,Fantasy,Long Series,"Urban Fantasy, Western, *completed, Epic Fantasy, Post-Apocalyptic","Epic, Epic Fantasy, Fantasy, Fiction, Grimdark, High Fantasy, Horror, Mystery, Post-Apocalyptic, Thriller, Urban Fantasy"
Piranesi,Susanna Clarke,2022/01/19,5.0,Fantasy,Standalone,*completed,"Contemporary, Dark Academia, Fantasy, Fiction, Greek, Literary, Magical Realism, Mystery, Mythology, Thriller"
The Storyteller: Tales of Life and Music,Dave Grohl,2022/01/17,4.5,Nonfiction,Standalone,"Humor, History, *completed, Biography, Nonfiction","Biography, History, Humor, Music, Nonfiction"
The Bands of Mourning,Brandon Sanderson,2022/01/10,4.75,Fantasy,Long Series,"Western, Epic Fantasy, *completed","Adventure, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Mystery, Steampunk, Urban Fantasy, Western, Young Adult"
The Dark Tower,Stephen King,2022/01/09,4.25,Fantasy,Long Series,"Urban Fantasy, Western, *completed, Epic Fantasy, Post-Apocalyptic","Epic, Epic Fantasy, Fantasy, Fiction, Grimdark, High Fantasy, Horror, Mystery, Post-Apocalyptic, Thriller, Urban Fantasy"
Shadows of Self,Brandon Sanderson,2022/01/04,5.0,Fantasy,Long Series,"Western, Epic Fantasy, *completed","Adventure, Crime, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Mystery, Steampunk, Urban Fantasy, Western, Young Adult"
Warbreaker,Brandon Sanderson,2021/12/16,4.75,Fantasy,Standalone,"Romance, Epic Fantasy, *completed","Adventure, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Romance, Young Adult"
Annihilation,Jeff VanderMeer,2021/12/06,2.0,Horror,Short Series,"Cosmic Horror, Post-Apocalyptic, *completed","Adventure, Contemporary, Cosmic Horror, Dystopian, Fantasy, Fiction, Horror, Mystery, Post-Apocalyptic, Science, Thriller"
Elantris,Brandon Sanderson,2021/12/06,4.5,Fantasy,Standalone,"Romance, Epic Fantasy, *completed","Adventure, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Mystery, Romance, Young Adult"
The Sky Below,Scott Parazynski & Susy Flory,2021/11/11,4.0,Nonfiction,Standalone,"History, *completed, Biography, Nonfiction","Adventure, Biography, History, Nonfiction, Science, Travel"
Rebel's Creed,Daniel Greene,2021/11/08,4.0,Fantasy,Short Series,"Urban Fantasy, *completed, Indie, Epic Fantasy","Epic, Epic Fantasy, Fantasy, Fiction, Grimdark, High Fantasy, Horror, Indie, LGBTQ, Mystery, Urban Fantasy"
Song of Susannah,Stephen King,2021/11/07,3.25,Fantasy,Long Series,"Urban Fantasy, Western, *completed, Post-Apocalyptic, Time Travel, Epic Fantasy, Supernatural Horror","Adventure, Dystopian, Epic, Epic Fantasy, Fantasy, Fiction, Grimdark, High Fantasy, Horror, Mystery, Post-Apocalyptic, Supernatural, Supernatural Horror, Thriller, Time Travel, Urban Fantasy, Western"
Skin Game,Jim Butcher,2021/10/29,4.0,Fantasy,Long Series,"Urban Fantasy, Heist, Humor, Monster Hunting, *completed, Detective, Epic Fantasy, Dragons, Supernatural Horror","Adventure, Christianity, Contemporary, Crime, Detective, Dragons, Epic, Fae, Fantasy, Fiction, Heist, Horror, Humor, Military & War, Monster Hunting, Mystery, Mythology, Supernatural, Supernatural Horror, Thriller, Urban Fantasy, Vampires"
Cold Days,Jim Butcher,2021/10/21,4.25,Fantasy,Long Series,"Urban Fantasy, Humor, Monster Hunting, *completed, Detective, Epic Fantasy, Dragons, Supernatural Horror","Adventure, Christianity, Contemporary, Crime, Detective, Dragons, Epic, Fae, Fantasy, Fiction, Horror, Humor, Military & War, Monster Hunting, Mystery, Mythology, Supernatural, Supernatural Horror, Thriller, Urban Fantasy, Vampires"
Ghost Story,Jim Butcher,2021/10/02,4.5,Fantasy,Long Series,"Urban Fantasy, Humor, Monster Hunting, *completed, Noir, Detective, Epic Fantasy, Dragons, Supernatural Horror","Adventure, Christianity, Contemporary, Crime, Detective, Dragons, Epic, Fae, Fantasy, Fiction, Horror, Humor, Military & War, Monster Hunting, Mystery, Mythology, Noir, Supernatural, Supernatural Horror, Thriller, Urban Fantasy, Vampires"
Wolves of the Calla,Stephen King,2021/09/27,4.5,Fantasy,Long Series,"Urban Fantasy, Western, *completed, Post-Apocalyptic, Epic Fantasy, Supernatural Horror","Adventure, Dystopian, Epic, Epic Fantasy, Fantasy, Fiction, Grimdark, High Fantasy, Horror, Mystery, Post-Apocalyptic, Supernatural, Supernatural Horror, Thriller, Urban Fantasy, Western"
Side Jobs,Jim Butcher,2021/09/02,3.75,Fantasy,Long Series,"Urban Fantasy, Humor, Monster Hunting, Short Stories, *completed, Detective, Epic Fantasy, Dragons, Supernatural Horror","Adventure, Contemporary, Crime, Detective, Dragons, Epic, Fae, Fantasy, Fiction, Horror, Humor, Military & War, Monster Hunting, Mystery, Mythology, Short Stories, Supernatural, Supernatural Horror, Thriller, Urban Fantasy, Vampires"
Changes,Jim Butcher,2021/08/19,5.0,Fantasy,Long Series,"Urban Fantasy, Humor, Monster Hunting, *completed, Noir, Detective, Epic Fantasy, Dragons, Supernatural Horror","Adventure, Christianity, Contemporary, Crime, Detective, Dragons, Epic, Fae, Fantasy, Fiction, Horror, Humor, Military & War, Monster Hunting, Mystery, Mythology, Noir, Supernatural, Supernatural Horror, Thriller, Urban Fantasy, Vampires"
The Martian,Andy Weir,2021/08/06,5.0,Fantasy,Standalone,"Hard Sci-Fi, Survival, *completed","Adventure, Contemporary, Fantasy, Fiction, Hard Sci-Fi, Humor, Science, Survival, Thriller"
Turn Coat,Jim Butcher,2021/07/25,4.0,Fantasy,Long Series,"Urban Fantasy, Humor, Monster Hunting, *completed, Noir, Detective, Epic Fantasy, Dragons, Supernatural Horror","Adventure, Christianity, Contemporary, Crime, Detective, Dragons, Epic, Fae, Fantasy, Fiction, Horror, Humor, Military & War, Monster Hunting, Mystery, Mythology, Noir, Supernatural, Supernatural Horror, Thriller, Urban Fantasy, Vampires"
'Salem's Lot,Stephen King,2021/07/19,4.75,Horror,Standalone,"Supernatural Horror, *completed","Fantasy, Fiction, Gothic, Horror, Mystery, Supernatural, Supernatural Horror, Thriller, Vampires"
Small Favor,Jim Butcher,2021/07/08,4.25,Fantasy,Long Series,"Urban Fantasy, Humor, Monster Hunting, *completed, Noir, Detective, Epic Fantasy, Dragons, Supernatural Horror","Adventure, Christianity, Contemporary, Crime, Detective, Dragons, Epic, Fae, Fantasy, Fiction, Horror, Humor, Military & War, Monster Hunting, Mystery, Mythology, Noir, Supernatural, Supernatural Horror, Thriller, Urban Fantasy, Vampires"
Kings of the Wyld,Nicholas Eames,2021/06/29,,Fantasy,Short Series,"Sword & Sorcery, Humor, Dragons, *completed, Epic Fantasy","Adventure, Dragons, Epic, Epic Fantasy, Fantasy, Fiction, Found Family, Grimdark, High Fantasy, Humor, Military & War, Sword & Sorcery"
Project Hail Mary,Andy Weir,2021/06/22,5.0,Fantasy,Standalone,"Hard Sci-Fi, *completed","Adventure, Aliens, Dystopian, Fantasy, Fiction, Hard Sci-Fi, Humor, Mystery, Science, Thriller"
Breach of Peace,Daniel Greene,2021/06/04,3.75,Fantasy,Short Series,"Urban Fantasy, Short Stories, *completed, Indie, Detective, Epic Fantasy","Crime, Detective, Dystopian, Epic, Epic Fantasy, Fantasy, Fiction, Grimdark, High Fantasy, Horror, Indie, Mystery, Short Stories, Thriller, Urban Fantasy"
The Slow Regard of Silent Things,Patrick Rothfuss,2021/06/02,3.0,Fantasy,Short Series,"Epic Fantasy, *completed, Short Stories","Adventure, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Short Stories"
The Wise Man's Fear,Patrick Rothfuss,2021/05/20,4.5,Fantasy,Short Series,"Epic Fantasy, *completed","Adventure, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy"
White Night,Jim Butcher,2021/04/16,4.5,Fantasy,Long Series,"Urban Fantasy, Humor, Monster Hunting, *completed, Noir, Detective, Epic Fantasy, Dragons, Supernatural Horror","Adventure, Christianity, Contemporary, Crime, Detective, Dragons, Epic, Fae, Fantasy, Fiction, Horror, Humor, Military & War, Monster Hunting, Mystery, Mythology, Noir, Supernatural, Supernatural Horror, Thriller, Urban Fantasy, Vampires"
The Name of the Wind,Patrick Rothfuss,2021/04/05,5.0,Fantasy,Short Series,"Epic Fantasy, *completed","Adventure, Coming of Age, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy"
Proven Guilty,Jim Butcher,2021/02/26,4.0,Fantasy,Long Series,"Urban Fantasy, Humor, Monster Hunting, *completed, Noir, Detective, Epic Fantasy, Dragons, Supernatural Horror","Adventure, Christianity, Contemporary, Crime, Detective, Dragons, Epic, Fae, Fantasy, Fiction, Horror, Humor, Military & War, Monster Hunting, Mystery, Mythology, Noir, Supernatural, Supernatural Horror, Thriller, Urban Fantasy, Vampires"
Dead Beat,Jim Butcher,2021/01/27,5.0,Fantasy,Long Series,"Urban Fantasy, Humor, Monster Hunting, *completed, Noir, Detective, Epic Fantasy, Dragons, Supernatural Horror","Adventure, Christianity, Contemporary, Crime, Detective, Dragons, Epic, Fae, Fantasy, Fiction, Horror, Humor, Military & War, Monster Hunting, Mystery, Mythology, Noir, Supernatural, Supernatural Horror, Thriller, Urban Fantasy, Vampires, Zombies"
"The Hobbit, or There and Back Again",J. R. R. Tolkien,2021/01/01,5.0,Fantasy,Standalone,"Dragons, *completed, Classics, Epic Fantasy","Adventure, Classics, Dragons, Epic, Fantasy, Fiction, High Fantasy, Middle Grade, Young Adult"
The Silmarillion,J. R. R. Tolkien,2020/12/17,4.0,Fantasy,Standalone,"Dragons, *completed, Classics, Epic Fantasy","Adventure, Classics, Dragons, Epic, Fantasy, Fiction, High Fantasy, Mythology"
Blood Rites,Jim Butcher,2020/11/22,4.0,Fantasy,Long Series,"Urban Fantasy, Humor, Monster Hunting, *completed, Noir, Detective, Epic Fantasy, Dragons, Supernatural Horror","Adventure, Christianity, Contemporary, Crime, Detective, Dragons, Epic, Fae, Fantasy, Fiction, Horror, Humor, Military & War, Monster Hunting, Mystery, Mythology, Noir, Supernatural, Supernatural Horror, Thriller, Urban Fantasy, Vampires"
Death Masks,Jim Butcher,2020/11/15,4.25,Fantasy,Long Series,"Urban Fantasy, Humor, *completed, Noir, Detective, Epic Fantasy, Dragons, Supernatural Horror, Romance, Monster Hunting","Adventure, Christianity, Contemporary, Crime, Detective, Dragons, Epic, Fae, Fantasy, Fiction, Horror, Humor, Military & War, Monster Hunting, Mystery, Mythology, Noir, Supernatural, Supernatural Horror, Thriller, Urban Fantasy, Vampires"
To Sleep in a Sea of Stars,Christopher Paolini,2020/11/02,3.5,Fantasy,Standalone,"First Contact, *completed, Space Opera","Adventure, Aliens, Fantasy, Fiction, First Contact, Space Opera, Young Adult"
The Stand,Stephen King,2020/10/02,4.0,Horror,Standalone,"*completed, Survival, Post-Apocalyptic, Classics, Epic Fantasy, Supernatural Horror","Adventure, Dystopian, Epic, Fantasy, Fiction, Horror, Mystery, Post-Apocalyptic, Supernatural, Supernatural Horror, Survival, Thriller"
Mistborn,Brandon Sanderson,2020/09/23,5.0,Fantasy,Long Series,"Dystopian, Epic Fantasy, *completed","Adventure, Dystopian, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Mystery, Urban Fantasy, Young Adult"
The Hero of Ages,Brandon Sanderson,2020/09/23,5.0,Fantasy,Long Series,"Dystopian, Epic Fantasy, *completed","Adventure, Dystopian, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Mystery, Urban Fantasy, Young Adult"
The Well of Ascension,Brandon Sanderson,2020/09/08,5.0,Fantasy,Long Series,"Dystopian, Epic Fantasy, *completed","Adventure, Dystopian, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Mystery, Urban Fantasy, Young Adult"
Grave Peril,Jim Butcher,2020/08/06,5.0,Fantasy,Long Series,"Urban Fantasy, Humor, *completed, Noir, Detective, Epic Fantasy, Dragons, Supernatural Horror, Romance, Monster Hunting","Adventure, Christianity, Contemporary, Crime, Detective, Dragons, Epic, Fae, Fantasy, Fiction, Horror, Humor, Military & War, Monster Hunting, Mystery, Mythology, Noir, Supernatural, Supernatural Horror, Thriller, Urban Fantasy, Vampires"
Fool Moon,Jim Butcher,2020/07/30,5.0,Fantasy,Long Series,"Urban Fantasy, Humor, Monster Hunting, *completed, Noir, Detective, Epic Fantasy, Dragons, Supernatural Horror","Adventure, Contemporary, Crime, Detective, Dragons, Epic, Fantasy, Fiction, Horror, Humor, Military & War, Monster Hunting, Mystery, Mythology, Noir, Supernatural, Supernatural Horror, Thriller, Urban Fantasy, Vampires"
Wizard and Glass,Stephen King,2020/07/28,5.0,Fantasy,Long Series,"Urban Fantasy, Romance, Western, *completed, Post-Apocalyptic, Epic Fantasy, Supernatural Horror","Adventure, Dystopian, Epic, Epic Fantasy, Fantasy, Fiction, Grimdark, High Fantasy, Horror, Mystery, Post-Apocalyptic, Romance, Supernatural, Supernatural Horror, Thriller, Urban Fantasy, Western"
The Waste Lands,Stephen King,2020/04/18,4.0,Fantasy,Long Series,"Urban Fantasy, Western, *completed, Post-Apocalyptic, Epic Fantasy, Supernatural Horror","Adventure, Dystopian, Epic, Epic Fantasy, Fantasy, Fiction, Grimdark, High Fantasy, Horror, Mystery, Post-Apocalyptic, Supernatural, Supernatural Horror, Thriller, Urban Fantasy, Western"
The Drawing of the Three,Stephen King,2019/07/28,4.0,Fantasy,Long Series,"Urban Fantasy, Western, *completed, Post-Apocalyptic, Time Travel, Epic Fantasy, Supernatural Horror","Adventure, Dystopian, Epic, Epic Fantasy, Fantasy, Fiction, Grimdark, High Fantasy, Horror, Mystery, Post-Apocalyptic, Supernatural, Supernatural Horror, Thriller, Time Travel, Urban Fantasy, Western"
The Gunslinger,Stephen King,2019/05/22,3.0,Fantasy,Long Series,"Western, *completed, Post-Apocalyptic, Epic Fantasy, Supernatural Horror","Adventure, Dystopian, Epic, Epic Fantasy, Fantasy, Fiction, Grimdark, High Fantasy, Horror, Mystery, Post-Apocalyptic, Supernatural, Supernatural Horror, Thriller, Urban Fantasy, Western"
"Everything All at Once: How to Unleash Your Inner Nerd, Tap Into Radical Curiosity, and Solve Any Problem",Bill Nye,2019/04/02,5.0,Nonfiction,Standalone,"History, *completed, Biography, Nonfiction","Biography, Contemporary, History, Humor, Nonfiction, Philosophy, Psychology, Science, Self Help"
The Lady of the Lake,Andrzej Sapkowski,2018/10/31,3.5,Fantasy,Short Series,"Monster Hunting, Translated, Dragons, Short Stories, *completed, Epic Fantasy","Dragons, Epic, Epic Fantasy, Fantasy, Fiction, Grimdark, High Fantasy, Horror, Monster Hunting, Short Stories"
The Tower of the Swallow,Andrzej Sapkowski,2018/10/09,3.75,Fantasy,Short Series,"Translated, Dragons, *completed, Epic Fantasy, Monster Hunting","Adventure, Dragons, Epic, Epic Fantasy, Fantasy, Fiction, Grimdark, High Fantasy, Horror, Monster Hunting, Translated"
Baptism of Fire,Andrzej Sapkowski,2018/09/30,4.0,Fantasy,Short Series,"Dragons, *completed, Short Stories, Epic Fantasy, Monster Hunting","Dragons, Epic, Epic Fantasy, Fantasy, Fiction, Grimdark, High Fantasy, Horror, Monster Hunting, Short Stories"
The Time of Contempt,Andrzej Sapkowski,2018/09/24,5.0,Fantasy,Short Series,"Translated, Dragons, *completed, Epic Fantasy, Monster Hunting","Adventure, Dragons, Epic, Epic Fantasy, Fantasy, Fiction, Grimdark, High Fantasy, Horror, Monster Hunting, Translated"
Blood of Elves,Andrzej Sapkowski,2018/05/21,4.0,Fantasy,Short Series,"Translated, Dragons, *completed, Epic Fantasy, Monster Hunting, Supernatural Horror","Adventure, Dragons, Epic, Epic Fantasy, Fantasy, Fiction, Grimdark, High Fantasy, Horror, Monster Hunting, Supernatural, Supernatural Horror, Translated"
